Formula,M,X,T,Work_function,Heat_of_formation,Energy_above_convex_hull,Length(x),Radius_of_orbital_of_metal,Radius_of_orbital_of_support,Radius_of_orbital_of_termination,Ionisation_potential_of_metal,Ionisation_potential_of_support,Ionisation_potential_of_termination,Electronegativity_of_metal,Electronegativity_of_support,Electronegativity_of_termination,Electron_affinity_of_metal,Electron_affinity_of_support,Electron_affinity_of_termination
Ti2N,Ti,N,Ti,4.582592154,-0.588570078,0.741026571,297.9,48.9,48.8,48.9,6.8282,14.5341,6.8282,1.54,3.04,1.54,0.087,-0.07,0.087
Zr2N,Zr,N,Zr,4.424409886,-0.544157544,0.687616788,323.4,79,48.8,79,6.6339,14.5341,6.6339,1.33,3.04,1.33,0.427,-0.07,0.427
Nb2CF2,Nb,C,F,4.342834041,-1.813100432,0.106837275,319.5,74.7,59.6,36,6.7588,11.2603,17.4228,1.6,2.55,3.98,0.894,1.262,3.401
V2CF2,V,C,F,5.383132905,-1.723631726,0.07929613,298.6,44.9,59.6,36,6.746,11.2603,17.4228,1.63,2.55,3.98,0.526,1.262,3.401
Hf2CO2,Hf,C,O,4.879111126,-2.307389343,0.167551164,327.7,82.9,59.6,41.4,6.825,11.2603,13.618,1.3,2.55,3.44,0.178,1.262,1.439
Nb2CO2,Nb,C,O,5.759951723,-1.727511018,0.110416072,312.7,74.7,59.6,41.4,6.7588,11.2603,13.618,1.6,2.55,3.44,0.894,1.262,1.439
Ta2CO2,Ta,C,O,5.522228129,-1.765860026,0.113381284,313.3,78.4,59.6,41.4,7.89,11.2603,13.618,1.5,2.55,3.44,0.323,1.262,1.439
Y2CO2,Y,C,O,5.253460151,-1.792301385,0.762210379,356.4,86.5,59.6,41.4,6.217,11.2603,13.618,1.22,2.55,3.44,0.308,1.262,1.439
Mn2F2N,Mn,N,F,5.623999412,-1.348883438,0.14394207,304.5,38.9,48.8,36,7.434,14.5341,17.4228,1.55,3.04,3.98,-0.5,-0.07,3.401
Ta2F2N,Ta,N,F,4.86534066,-1.617616224,0.506882731,287,78.4,48.8,36,7.89,14.5341,17.4228,1.5,3.04,3.98,0.323,-0.07,3.401
Zr2F2N,Zr,N,F,3.539576278,-2.591595542,0.081561892,327.4,79,48.8,36,6.6339,14.5341,17.4228,1.33,3.04,3.98,0.427,-0.07,3.401
W2NO2,W,N,O,6.825937572,-0.946453766,0.332244768,283.1,74.6,48.8,41.4,7.98,14.5341,13.618,2.36,3.04,3.44,0.816,-0.07,1.439
Nb2CH2O2,Nb,C,OH,2.145794566,-1.12639898,0.189516924,320.3,74.7,59.6,41.4,6.7588,11.2603,13.017,1.6,2.55,2.82,0.894,1.262,1.827
V2CH2O2,V,C,OH,1.792878429,-1.060472925,0.133232701,300.9,44.9,59.6,41.4,6.746,11.2603,13.017,1.63,2.55,2.82,0.526,1.262,1.827
Cr2H2NO2,Cr,N,OH,1.941259428,-0.893623076,0.229901136,303.7,42.7,48.8,41.4,6.766,14.5341,13.017,1.66,3.04,2.82,0.6758,-0.07,1.827
Nb2H2NO2,Nb,N,OH,2.275744716,-1.144997503,0.333334803,295,74.7,48.8,41.4,6.7588,14.5341,13.017,1.6,3.04,2.82,0.894,-0.07,1.827
V2H2NO2,V,N,OH,2.017324425,-1.19895202,0.163617715,305.7,44.9,48.8,41.4,6.746,14.5341,13.017,1.63,3.04,2.82,0.526,-0.07,1.827
Cr3C2H2O2,Cr,C,OH,1.561346295,-0.52019423,0.289481003,301.1,42.7,59.6,41.4,6.766,11.2603,13.017,1.66,2.55,2.82,0.6758,1.262,1.827
Nb3C2H2O2,Nb,C,OH,1.890096978,-0.929482595,0.236704168,317.6,74.7,59.6,41.4,6.7588,11.2603,13.017,1.6,2.55,2.82,0.894,1.262,1.827
V3C2H2O2,V,C,OH,1.710174949,-0.852135548,0.190626664,299.4,44.9,59.6,41.4,6.746,11.2603,13.017,1.63,2.55,2.82,0.526,1.262,1.827
Mn3H2N2O2,Mn,N,OH,1.733889322,-0.559976131,0.211420039,297.2,38.9,48.8,41.4,7.434,14.5341,13.017,1.55,3.04,2.82,-0.5,-0.07,1.827
Ta3H2N2O2,Ta,N,OH,2.403405864,-1.039753363,0.408112124,293.7,78.4,48.8,41.4,7.89,14.5341,13.017,1.5,3.04,2.82,0.323,-0.07,1.827
Y3H2N2O2,Y,N,OH,1.789979678,-1.825248885,0.240291624,347.3,86.5,48.8,41.4,6.217,14.5341,13.017,1.22,3.04,2.82,0.308,-0.07,1.827
Hf3C2F2,Hf,C,F,2.944220046,-1.912199774,0,329.8,82.9,59.6,36,6.825,11.2603,17.4228,1.3,2.55,3.98,0.178,1.262,3.401
Sc3C2F2,Sc,C,F,5.213365605,-1.778598304,0.17054619,324.5,53.9,59.6,36,6.5614,11.2603,17.4228,1.36,2.55,3.98,0.189,1.262,3.401
W3C2F2,W,C,F,5.79068929,-0.559840416,0.48901482,287.6,74.6,59.6,36,7.98,11.2603,17.4228,2.36,2.55,3.98,0.816,1.262,3.401
Hf3C2O2,Hf,C,O,5.600769939,-1.812255631,0.216093609,327.1,82.9,59.6,41.4,6.825,11.2603,13.618,1.3,2.55,3.44,0.178,1.262,1.439
Sc3C2O2,Sc,C,O,3.947450403,-1.648476353,0.305691985,348.3,53.9,59.6,41.4,6.5614,11.2603,13.618,1.36,2.55,3.44,0.189,1.262,1.439
W3C2O2,W,C,O,6.093392542,-0.59126831,0.389190625,295.5,74.6,59.6,41.4,7.98,11.2603,13.618,2.36,2.55,3.44,0.816,1.262,1.439
Mn3F2N2,Mn,N,F,6.210243103,-0.838331214,0.276248707,298.5,38.9,48.8,36,7.434,14.5341,17.4228,1.55,3.04,3.98,-0.5,-0.07,3.401
Ta3F2N2,Ta,N,F,5.007630856,-1.468564617,0.398357297,290.6,78.4,48.8,36,7.89,14.5341,17.4228,1.5,3.04,3.98,0.323,-0.07,3.401
Y3F2N2,Y,N,F,3.258692407,-2.614087649,0.007780714,345.8,86.5,48.8,36,6.217,14.5341,17.4228,1.22,3.04,3.98,0.308,-0.07,3.401
Mo3N2O2,Mo,N,O,7.07949312,-0.853568834,0.283542296,283.8,70.2,48.8,41.4,7.0942,14.5341,13.618,2.16,3.04,3.44,0.749,-0.07,1.439
Ti3N2O2,Ti,N,O,5.539232561,-2.232220166,0.031571562,298.4,48.9,48.8,41.4,6.8282,14.5341,13.618,1.54,3.04,3.44,0.087,-0.07,1.439
Zr3N2O2,Zr,N,O,4.427263342,-2.426937928,0.094492387,323.8,79,48.8,41.4,6.6339,14.5341,13.618,1.33,3.04,3.44,0.427,-0.07,1.439
Mo4C3H2O2,Mo,C,OH,1.675662958,-0.393055163,0.282334547,314.9,70.2,59.6,41.4,7.0942,11.2603,13.017,2.16,2.55,2.82,0.749,1.262,1.827
Ti4C3H2O2,Ti,C,OH,1.911851995,-1.21123392,0.096587912,309.1,48.9,59.6,41.4,6.8282,11.2603,13.017,1.54,2.55,2.82,0.087,1.262,1.827
Zr4C3H2O2,Zr,C,OH,2.07405871,-1.273955784,0.190943538,334,79,59.6,41.4,6.6339,11.2603,13.017,1.33,2.55,2.82,0.427,1.262,1.827
Mo4H2N3O2,Mo,N,OH,1.889694579,-0.546785406,0.29549047,323.6,70.2,48.8,41.4,7.0942,14.5341,13.017,2.16,3.04,2.82,0.749,-0.07,1.827
Ti4H2N3O2,Ti,N,OH,2.235089544,-1.666870552,0.073928409,302.5,48.9,48.8,41.4,6.8282,14.5341,13.017,1.54,3.04,2.82,0.087,-0.07,1.827
Zr4H2N3O2,Zr,N,OH,2.391718901,-1.706493465,0.220965988,325.2,79,48.8,41.4,6.6339,14.5341,13.017,1.33,3.04,2.82,0.427,-0.07,1.827
Cr3C2,Cr,C,Cr,4.551678031,0.537150899,0.617789432,292.8,42.7,59.6,42.7,6.766,11.2603,6.766,1.66,2.55,1.66,0.6758,1.262,0.6758
Nb3C2,Nb,C,Nb,4.40779032,-0.03271466,0.577765918,317.6,74.7,59.6,74.7,6.7588,11.2603,6.7588,1.6,2.55,1.6,0.894,1.262,0.894
V3C2,V,C,V,4.394605061,0.024455883,0.515501124,297.1,44.9,59.6,44.9,6.746,11.2603,6.746,1.63,2.55,1.63,0.526,1.262,0.526
Cr3N2,Cr,N,Cr,4.872036601,0.213849078,0.610528151,270.1,42.7,48.8,42.7,6.766,14.5341,6.766,1.66,3.04,1.66,0.6758,-0.07,0.6758
Nb3N2,Nb,N,Nb,5.071959079,-0.40135405,0.68765781,294.5,74.7,48.8,74.7,6.7588,14.5341,6.7588,1.6,3.04,1.6,0.894,-0.07,0.894
V3N2,V,N,V,5.136135176,-0.367901304,0.662069758,278.5,44.9,48.8,44.9,6.746,14.5341,6.746,1.63,3.04,1.63,0.526,-0.07,0.526
Hf4C3F2,Hf,C,F,3.197944428,-1.683930893,0.005973613,330.7,82.9,59.6,36,6.825,11.2603,17.4228,1.3,2.55,3.98,0.178,1.262,3.401
Sc4C3F2,Sc,C,F,5.059853658,-1.463139164,0.157049302,326.4,53.9,59.6,36,6.5614,11.2603,17.4228,1.36,2.55,3.98,0.189,1.262,3.401
W4C3F2,W,C,F,5.342680175,-0.421023184,0.439913351,315.7,74.6,59.6,36,7.98,11.2603,17.4228,2.36,2.55,3.98,0.816,1.262,3.401
Hf4F2N3,Hf,N,F,3.197498319,-2.07670567,0.119567284,322.6,82.9,48.8,36,6.825,14.5341,17.4228,1.3,3.04,3.98,0.178,-0.07,3.401
Ta4F2N3,Ta,N,F,3.767598455,-1.292392481,0.431431077,321.5,78.4,48.8,36,7.89,14.5341,17.4228,1.5,3.04,3.98,0.323,-0.07,3.401
Y4F2N3,Y,N,F,2.815691735,-2.456640293,0,346.7,86.5,48.8,36,6.217,14.5341,17.4228,1.22,3.04,3.98,0.308,-0.07,3.401
Mn4C3O2,Mn,C,O,6.867468069,-0.235408842,0.393039942,292.1,38.9,59.6,41.4,7.434,11.2603,13.618,1.55,2.55,3.44,-0.5,1.262,1.439
Ta4C3O2,Ta,C,O,5.333658689,-1.249088308,0.063014189,314.8,78.4,59.6,41.4,7.89,11.2603,13.618,1.5,2.55,3.44,0.323,1.262,1.439
Y4C3O2,Y,C,O,5.20902564,-1.024714245,0.558200978,356.9,86.5,59.6,41.4,6.217,11.2603,13.618,1.22,2.55,3.44,0.308,1.262,1.439
Mn4N3O2,Mn,N,O,6.603191803,-0.632000893,0.067800324,290.3,38.9,48.8,41.4,7.434,14.5341,13.618,1.55,3.04,3.44,-0.5,-0.07,1.439
Ta4N3O2,Ta,N,O,5.005655022,-1.442691387,0.276947281,315.3,78.4,48.8,41.4,7.89,14.5341,13.618,1.5,3.04,3.44,0.323,-0.07,1.439
Y4N3O2,Y,N,O,6.215337862,-2.149315151,0.234935171,351.2,86.5,48.8,41.4,6.217,14.5341,13.618,1.22,3.04,3.44,0.308,-0.07,1.439
Mn4C3,Mn,C,Mn,4.410789617,0.392503449,0.446415211,294,38.9,59.6,38.9,7.434,11.2603,7.434,1.55,2.55,1.55,-0.5,1.262,-0.5
Ta4C3,Ta,C,Ta,4.728994418,-0.263962036,0.357391345,311.8,78.4,59.6,78.4,7.89,11.2603,7.89,1.5,2.55,1.5,0.323,1.262,0.323
Y4C3,Y,C,Y,3.070247734,-0.15628904,0.187341362,363.6,86.5,59.6,86.5,6.217,11.2603,6.217,1.22,2.55,1.22,0.308,1.262,0.308
Mn4N3,Mn,N,Mn,5.612002702,-0.004195302,0.188908643,285.9,38.9,48.8,38.9,7.434,14.5341,7.434,1.55,3.04,1.55,-0.5,-0.07,-0.5
Ta4N3,Ta,N,Ta,4.928066065,-0.416915828,0.699283229,313.5,78.4,48.8,78.4,7.89,14.5341,7.89,1.5,3.04,1.5,0.323,-0.07,0.323
Y4N3,Y,N,Y,4.182844139,-1.299303,0.187096604,346.8,86.5,48.8,86.5,6.217,14.5341,6.217,1.22,3.04,1.22,0.308,-0.07,0.308
Mn2C,Mn,C,Mn,4.78590294,0.69818154,0.75984666,284.6,38.9,59.6,38.9,7.434,11.2603,7.434,1.55,2.55,1.55,-0.5,1.262,-0.5
Y2C,Y,C,Y,3.827384573,0.037016926,0.365738361,354.4,86.5,59.6,86.5,6.217,11.2603,6.217,1.22,2.55,1.22,0.308,1.262,0.308
Hf2N,Hf,N,Hf,4.551067419,-0.440404735,0.687294809,318.1,82.9,48.8,82.9,6.825,14.5341,6.825,1.3,3.04,1.3,0.178,-0.07,0.178
Sc2N,Sc,N,Sc,4.312652488,-0.808648847,0.487277918,317.9,53.9,48.8,53.9,6.5614,14.5341,6.5614,1.36,3.04,1.36,0.189,-0.07,0.189
V2N,V,N,V,4.742742945,-0.062223828,0.889440017,290.4,44.9,48.8,44.9,6.746,14.5341,6.746,1.63,3.04,1.63,0.526,-0.07,0.526
Hf2CF2,Hf,C,F,3.630109062,-2.260407471,0.039848441,326.8,82.9,59.6,36,6.825,11.2603,17.4228,1.3,2.55,3.98,0.178,1.262,3.401
Sc2CF2,Sc,C,F,4.515987635,-2.541265344,0,326.7,53.9,59.6,36,6.5614,11.2603,17.4228,1.36,2.55,3.98,0.189,1.262,3.401
W2CF2,W,C,F,5.674093832,-0.794890777,0.59221812,284.6,74.6,59.6,36,7.98,11.2603,17.4228,2.36,2.55,3.98,0.816,1.262,3.401
Mo2CO2,Mo,C,O,6.365433187,-0.958054861,0.307812663,309.3,70.2,59.6,41.4,7.0942,11.2603,13.618,2.16,2.55,3.44,0.749,1.262,1.439
Ti2CO2,Ti,C,O,5.661587764,-2.06105995,0.11185565,303.2,48.9,59.6,41.4,6.8282,11.2603,13.618,1.54,2.55,3.44,0.087,1.262,1.439
Zr2CO2,Zr,C,O,4.816504628,-2.287543747,0.171881209,330,79,59.6,41.4,6.6339,11.2603,13.618,1.33,2.55,3.44,0.427,1.262,1.439
Mo2F2N,Mo,N,F,5.613111015,-1.191554128,0.265181734,277.4,70.2,48.8,36,7.0942,14.5341,17.4228,2.16,3.04,3.98,0.749,-0.07,3.401
Ti2F2N,Ti,N,F,4.449904893,-2.561657971,0.000146237,304.7,48.9,48.8,36,6.8282,14.5341,17.4228,1.54,3.04,3.98,0.087,-0.07,3.401
Hf2NO2,Hf,N,O,4.607507529,-2.583980945,0.20283086,323,82.9,48.8,41.4,6.825,14.5341,13.618,1.3,3.04,3.44,0.178,-0.07,1.439
Sc2NO2,Sc,N,O,7.271891038,-2.414489714,0.514446656,324.2,53.9,48.8,41.4,6.5614,14.5341,13.618,1.36,3.04,3.44,0.189,-0.07,1.439
Y2NO2,Y,N,O,6.314310967,-2.385924838,0.518419445,353.4,86.5,48.8,41.4,6.217,14.5341,13.618,1.22,3.04,3.44,0.308,-0.07,1.439
Hf2CH2O2,Hf,C,OH,2.328544331,-1.438597866,0.343651126,328.8,82.9,59.6,41.4,6.825,11.2603,13.017,1.3,2.55,2.82,0.178,1.262,1.827
Sc2CH2O2,Sc,C,OH,1.347678248,-1.557127766,0.395849969,330,53.9,59.6,41.4,6.5614,11.2603,13.017,1.36,2.55,2.82,0.189,1.262,1.827
W2CH2O2,W,C,OH,2.476369027,-0.429226173,0.529758018,291.5,74.6,59.6,41.4,7.98,11.2603,13.017,2.36,2.55,2.82,0.816,1.262,1.827
Hf2H2NO2,Hf,N,OH,2.654117169,-1.559102136,0.431477725,326.1,82.9,48.8,41.4,6.825,14.5341,13.017,1.3,3.04,2.82,0.178,-0.07,1.827
Sc2H2NO2,Sc,N,OH,2.043230623,-1.900707201,0.261553526,322,53.9,48.8,41.4,6.5614,14.5341,13.017,1.36,3.04,2.82,0.189,-0.07,1.827
W2H2NO2,W,N,OH,2.579341907,-0.530983635,0.490016771,281.3,74.6,48.8,41.4,7.98,14.5341,13.017,2.36,3.04,2.82,0.816,-0.07,1.827
